Id,CreationTime,CreationDate
1543773,2009-02-03 06:37:35,2009-02-03 00:00:00
1543774,2009-02-03 06:37:35,2009-02-03 00:00:00
1543775,2009-02-03 06:37:35,2009-02-03 00:00:00
1543776,2009-02-03 06:37:35,2009-02-03 00:00:00
1543777,2009-02-03 06:37:35,2009-02-03 00:00:00
1543778,2009-02-03 06:37:35,2009-02-03 00:00:00
1543779,2009-02-03 06:37:35,2009-02-03 00:00:00
1543780,2009-02-03 06:37:36,2009-02-03 00:00:00
1543781,2009-02-03 06:37:36,2009-02-03 00:00:00
1543782,2009-02-03 06:37:36,2009-02-03 00:00:00
1543783,2009-02-03 06:37:36,2009-02-03 00:00:00
1543784,2009-02-03 06:37:36,2009-02-03 00:00:00
1543785,2009-02-03 06:37:36,2009-02-03 00:00:00
1543786,2009-02-03 06:37:36,2009-02-03 00:00:00
1543787,2009-02-03 06:37:36,2009-02-03 00:00:00
1543788,2009-02-03 06:37:36,2009-02-03 00:00:00
1543789,2009-02-03 06:37:36,2009-02-03 00:00:00
1543790,2009-02-03 06:37:36,2009-02-03 00:00:00
1543791,2009-02-03 06:37:36,2009-02-03 00:00:00
1543792,2009-02-03 06:37:36,2009-02-03 00:00:00
1543793,2009-02-03 06:37:36,2009-02-03 00:00:00
1543794,2009-02-03 06:37:36,2009-02-03 00:00:00
1543795,2009-02-03 06:37:36,2009-02-03 00:00:00
1543796,2009-02-03 06:37:36,2009-02-03 00:00:00
1543797,2009-02-03 06:37:36,2009-02-03 00:00:00
1543798,2009-02-03 06:37:36,2009-02-03 00:00:00
1543799,2009-02-03 06:37:36,2009-02-03 00:00:00
1543800,2009-02-03 06:37:36,2009-02-03 00:00:00
1543801,2009-02-03 06:37:36,2009-02-03 00:00:00
1543802,2009-02-03 06:37:36,2009-02-03 00:00:00
1543803,2009-02-03 06:37:36,2009-02-03 00:00:00
1543804,2009-02-03 06:37:37,2009-02-03 00:00:00
1543805,2009-02-03 06:37:37,2009-02-03 00:00:00
1543806,2009-02-03 06:37:37,2009-02-03 00:00:00
1543807,2009-02-03 06:37:37,2009-02-03 00:00:00
1543808,2009-02-03 06:37:37,2009-02-03 00:00:00
1543809,2009-02-03 06:37:37,2009-02-03 00:00:00
1543810,2009-02-03 06:37:37,2009-02-03 00:00:00
1543811,2009-02-03 06:37:37,2009-02-03 00:00:00
1543812,2009-02-03 06:37:37,2009-02-03 00:00:00
1543813,2009-02-03 06:37:37,2009-02-03 00:00:00
1543814,2009-02-03 06:37:37,2009-02-03 00:00:00
1543826,2009-02-03 06:56:28,2009-02-03 00:00:00
1544056,2009-02-03 07:49:30,2009-02-03 00:00:00
1544271,2009-02-03 08:18:39,2009-02-03 00:00:00
1544294,2009-02-03 08:22:59,2009-02-03 00:00:00
1544300,2009-02-03 08:23:57,2009-02-03 00:00:00
1544312,2009-02-03 08:27:09,2009-02-03 00:00:00
1544318,2009-02-03 08:28:02,2009-02-03 00:00:00
1544324,2009-02-03 08:28:14,2009-02-03 00:00:00
1544499,2009-02-03 08:59:56,2009-02-03 00:00:00
1544599,2009-02-03 09:17:20,2009-02-03 00:00:00
1545251,2009-02-03 11:00:03,2009-02-03 00:00:00
1545254,2009-02-03 11:00:05,2009-02-03 00:00:00
1545720,2009-02-03 12:00:03,2009-02-03 00:00:00
1545724,2009-02-03 12:00:03,2009-02-03 00:00:00
1546768,2009-02-03 14:00:03,2009-02-03 00:00:00
1546771,2009-02-03 14:00:03,2009-02-03 00:00:00
1546917,2009-02-03 14:12:09,2009-02-03 00:00:00
1546945,2009-02-03 14:14:08,2009-02-03 00:00:00
1546957,2009-02-03 14:15:25,2009-02-03 00:00:00
1547104,2009-02-03 14:28:33,2009-02-03 00:00:00
1547469,2009-02-03 14:53:09,2009-02-03 00:00:00
1547486,2009-02-03 14:54:03,2009-02-03 00:00:00
1547680,2009-02-03 15:08:34,2009-02-03 00:00:00
1548021,2009-02-03 15:33:48,2009-02-03 00:00:00
1548074,2009-02-03 15:41:21,2009-02-03 00:00:00
1548103,2009-02-03 15:44:03,2009-02-03 00:00:00
1548326,2009-02-03 16:00:03,2009-02-03 00:00:00
1548328,2009-02-03 16:00:03,2009-02-03 00:00:00
1548330,2009-02-03 16:00:03,2009-02-03 00:00:00
1548332,2009-02-03 16:00:03,2009-02-03 00:00:00
1548334,2009-02-03 16:00:03,2009-02-03 00:00:00
1548337,2009-02-03 16:00:03,2009-02-03 00:00:00
1548839,2009-02-03 16:41:55,2009-02-03 00:00:00
1548984,2009-02-03 16:52:36,2009-02-03 00:00:00
1549792,2009-02-03 17:58:53,2009-02-03 00:00:00
1549809,2009-02-03 18:00:03,2009-02-03 00:00:00
1549812,2009-02-03 18:00:03,2009-02-03 00:00:00
1549814,2009-02-03 18:00:03,2009-02-03 00:00:00
1549874,2009-02-03 18:04:35,2009-02-03 00:00:00
1549900,2009-02-03 18:06:22,2009-02-03 00:00:00
1550520,2009-02-03 19:05:04,2009-02-03 00:00:00
1551151,2009-02-03 20:00:03,2009-02-03 00:00:00
1551820,2009-02-03 21:00:05,2009-02-03 00:00:00
1552127,2009-02-03 21:23:29,2009-02-03 00:00:00
1552590,2009-02-03 22:00:03,2009-02-03 00:00:00
1552592,2009-02-03 22:00:04,2009-02-03 00:00:00
1552595,2009-02-03 22:00:04,2009-02-03 00:00:00
1552597,2009-02-03 22:00:05,2009-02-03 00:00:00
1553177,2009-02-03 22:43:27,2009-02-03 00:00:00
1553363,2009-02-03 23:00:03,2009-02-03 00:00:00
1553418,2009-02-03 23:06:06,2009-02-03 00:00:00
1553437,2009-02-03 23:08:16,2009-02-03 00:00:00
1553443,2009-02-03 23:08:44,2009-02-03 00:00:00
1554376,2009-02-04 01:00:04,2009-02-04 00:00:00
1555064,2009-02-04 03:43:27,2009-02-04 00:00:00
1555142,2009-02-04 03:29:29,2009-02-04 00:00:00
1555335,2009-02-04 04:00:03,2009-02-04 00:00:00
1555401,2009-02-04 04:13:43,2009-02-04 00:00:00
1555980,2009-02-04 06:00:03,2009-02-04 00:00:00
1556160,2009-02-04 06:33:44,2009-02-04 00:00:00
1556318,2009-02-04 07:00:03,2009-02-04 00:00:00
1558543,2009-02-04 12:33:55,2009-02-04 00:00:00
1560071,2009-02-04 23:31:03,2009-02-04 00:00:00
